query,clicks,impressions,ctr,position,clicks_prev,impressions_prev,ctr_prev,position_prev,clicks_delta,clicks_pct,impressions_delta,impressions_pct,ctr_delta,ctr_pct,position_delta,position_pct
booking ドット コム,0.0,1.0,0.0,30.0,0.0,1.0,0.0,29.0,0.0,,0.0,0.0,0.0,,1.0,0.034482758620689655
booking ドットコム,0.0,1.0,0.0,30.0,0.0,1.0,0.0,2.0,0.0,,0.0,0.0,0.0,,28.0,14.0
booking ドットコム 評判,0.0,1.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,,0.0,0.0,0.0,,4.0,1.3333333333333333
booking 評判,0.0,1.0,0.0,36.0,0.0,1.0,0.0,3.0,0.0,,0.0,0.0,0.0,,33.0,11.0
booking.com,0.0,1.0,0.0,2.0,,,,,0.0,,1.0,,0.0,,2.0,
booking.com 安全？,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,,0.0,0.0,0.0,,0.0,0.0
bookingcom 危ない,0.0,1.0,0.0,3.0,,,,,0.0,,1.0,,0.0,,3.0,
bookingドットコム,0.0,1.0,0.0,30.0,0.0,1.0,0.0,29.0,0.0,,0.0,0.0,0.0,,1.0,0.034482758620689655
bookingドットコム 評判,0.0,1.0,0.0,3.0,,,,,0.0,,1.0,,0.0,,3.0,
calypso cabaret bangkok address,0.0,1.0,0.0,43.0,,,,,0.0,,1.0,,0.0,,43.0,
calypso cabaret show ticket,0.0,1.0,0.0,56.0,,,,,0.0,,1.0,,0.0,,56.0,
camel ride tottori,0.0,1.0,0.0,40.0,,,,,0.0,,1.0,,0.0,,40.0,
cheap things to buy in sydney,0.0,1.0,0.0,44.0,,,,,0.0,,1.0,,0.0,,44.0,
cheapest movies,0.0,1.0,0.0,37.0,,,,,0.0,,1.0,,0.0,,37.0,
day trip to ubud,0.0,1.0,0.0,52.0,,,,,0.0,,1.0,,0.0,,52.0,
does wat pho have entrance fee,0.0,1.0,0.0,72.0,,,,,0.0,,1.0,,0.0,,72.0,
entrance fee for wat pho,0.0,1.0,0.0,62.0,,,,,0.0,,1.0,,0.0,,62.0,
extend your stay,0.0,1.0,0.0,52.0,,,,,0.0,,1.0,,0.0,,52.0,
extension thailand,0.0,1.0,0.0,78.0,,,,,0.0,,1.0,,0.0,,78.0,
fish market sydney map,0.0,1.0,0.0,63.0,,,,,0.0,,1.0,,0.0,,63.0,
getting to koh samet from bangkok,0.0,1.0,0.0,61.0,,,,,0.0,,1.0,,0.0,,61.0,
guide to blue mountains,0.0,1.0,0.0,64.0,,,,,0.0,,1.0,,0.0,,64.0,
how to extend visa in bangkok,0.0,1.0,0.0,51.0,,,,,0.0,,1.0,,0.0,,51.0,
how to get to fish market sydney,0.0,1.0,0.0,39.0,,,,,0.0,,1.0,,0.0,,39.0,
how to get to khao san road,0.0,1.0,0.0,39.0,0.0,1.0,0.0,41.0,0.0,,0.0,0.0,0.0,,-2.0,-0.04878048780487805
how to get to new sydney fish market,0.0,1.0,0.0,57.0,,,,,0.0,,1.0,,0.0,,57.0,
how to get to sydney fish market,0.0,1.0,0.0,38.0,,,,,0.0,,1.0,,0.0,,38.0,
how to get to wat pho,0.0,1.0,0.0,67.0,,,,,0.0,,1.0,,0.0,,67.0,
how to go to koh samet from bangkok,0.0,1.0,0.0,57.0,,,,,0.0,,1.0,,0.0,,57.0,
how to go to sydney fish market,0.0,1.0,0.0,42.0,,,,,0.0,,1.0,,0.0,,42.0,
is passport health expensive,0.0,1.0,0.0,34.0,,,,,0.0,,1.0,,0.0,,34.0,
khao san bar,0.0,1.0,0.0,22.0,,,,,0.0,,1.0,,0.0,,22.0,
khao san nightlife,0.0,1.0,0.0,18.0,0.0,1.0,0.0,30.0,0.0,,0.0,0.0,0.0,,-12.0,-0.4
khao san road,0.0,1.0,0.0,10.0,,,,,0.0,,1.0,,0.0,,10.0,
khao san road bangkok opening hours,0.0,1.0,0.0,62.0,,,,,0.0,,1.0,,0.0,,62.0,
